표준코드,제품코드,제품명,규격,단위,상한금액,업체명,주성분코드,주성분명,투여,분류
8806507009322,650700930,직듀오서방정10/1000밀리그램_(1정),1,정,512,한국아스트라제네카(주),639800ATR,dapagliflozin propanediol hydrate (as dapagliflozin   10mg),내복,396
8806507009513,650700950,심비코트라피헬러160/4.5마이크로그램_(120회),120,회/통,27984,한국아스트라제네카(주),543900CSI,budesonide(micronized)   19.2mg(0.16mg/회),외용,222
8806507009629,650700960,직듀오서방정10/500밀리그램_(1정),1,정,473,한국아스트라제네카(주),641400ATR,dapagliflozin propanediol hydrate (as dapagliflozin   10mg),내복,396
8806507009810,650700980,타그리소정80밀리그램(오시머티닙메실산염)_(95.4mg/1정),1,정,190123,한국아스트라제네카(주),652502ATB,osimertinib mesylate (as osimertinib   80mg),내복,421
8806507009919,650700990,타그리소정40밀리그램(오시머티닙메실산염)_(47.7mg/1정),1,정,101759,한국아스트라제네카(주),652501ATB,osimertinib mesylate (as osimertinib   40mg),내복,421
8806507010014,650701000,브릴린타정60밀리그램(티카그렐러)_(60mg/1정),1,정,478,한국아스트라제네카(주),615902ATB,ticagrelor   60mg,내복,218
8806507010519,650701050,큐턴정5/10밀리그램_(1정),1,정,833,한국아스트라제네카(주),702400ATB,dapagliflozin propanediol hydrate (as dapagliflozin   10mg),내복,396
8806507010618,650701060,닥사스정500마이크로그램(로플루밀라스트)_(0.5mg/1정),1,정,859,한국아스트라제네카(주),614701ATB,roflumilast(micronized)   0.5mg,내복,229
8806507010717,650701071,임핀지주(더발루맙)_(0.12g/2.4mL),2.4,mL/병,732116,한국아스트라제네카(주),676901BIJ,durvalumab   0.12g(50mg/mL),주사,421
8806507010816,650701081,임핀지주(더발루맙)_(0.5g/10mL),10,mL/병,3050975,한국아스트라제네카(주),676902BIJ,durvalumab   0.5g(50mg/mL),주사,421
8806507010915,650701091,파센라프리필드시린지주30밀리그램(벤라리주맙)_(30mg/1mL),1,mL/관,2842543,한국아스트라제네카(주),681301BIJ,benralizumab   30mg(30mg/mL),주사,229
8806507011110,650701110,린파자정150밀리그램(올라파립)_(0.15g/1정),1,정,48551,한국아스트라제네카(주),643502ATB,olaparib   0.15g,내복,421
8806507011219,650701120,린파자정100밀리그램(올라파립)_(0.1g/1정),1,정,38841,한국아스트라제네카(주),643503ATB,olaparib   0.1g,내복,421
8806507011417,650701140,코셀루고캡슐10밀리그램(셀루메티닙황산염)_(12.10mg/1캡슐),1,캡슐,95347,한국아스트라제네카(주),697902ACH,selumetinib hydrogen sulfate (as selumetinib   10mg),내복,429
8806507011516,650701150,코셀루고캡슐25밀리그램(셀루메티닙황산염)_(30.25mg/1캡슐),1,캡슐,235464,한국아스트라제네카(주),697901ACH,selumetinib hydrogen sulfate (as selumetinib   25mg),내복,429
8806507011813,650701181,시나지스주사액100밀리그램(팔리비주맙)_(0.1g/1mL),1,mL/병,908640,한국아스트라제네카(주),477502BIJ,palivizumab   0.1g,주사,629
8806507011912,650701191,시나지스주사액50밀리그램(팔리비주맙)_(50mg/0.5mL),0.5,mL/병,527701,한국아스트라제네카(주),477501BIJ,palivizumab   50mg,주사,629
